ucname_file,error_flag,nome,Pré-Requisitos,Carga Horária Total,Carga Horária Prática,Carga Horária Teórica,Carga Horária Extensão
algoritmos e estruturas de dados i,False,algoritmos e estruturas de dados i,lógica de programação,72,36,36,0
algoritmos e estruturas de dados ii,False,algoritmos e estruturas de dados ii,algoritmos e estruturas de dados i,72,26,46,0
algoritmos em bioinformática,False,algoritmos em bioinformática,lógica de programação,72,36,36,0
anatomia,False,anatomia,não há,36,10,26,0
análise de sinais,False,análise de sinais,séries e equações diferenciais ordinárias,72,0,72,0
análise do rn,False,análise do rn,cálculo em várias variáveis; análise real i,72,0,72,0
análise real i,False,análise real i,cálculo em uma variável,72,0,72,0
análise real ii,False,análise real ii,análise real i,72,0,72,0
aplicações de robótica móvel,False,aplicações de robótica móvel,algoritmos e estruturas de dados i,72,52,20,0
aprendizado de máquina e reconhecimento de padrões,False,aprendizado de máquina e reconhecimento de padrões,probabilidade e estatística; lógica de programação,72,24,48,0
arquitetura e organização de computadores,False,arquitetura e organização de computadores,circuitos digitais,72,20,52,0
aspectos de implementação de banco de dados,False,aspectos de implementação de banco de dados,banco de dados,72,40,32,0
avanços em engenharia biomédica,False,avanços em engenharia biomédica,sistemas embarcados; instrumentos eletromédicos,36,36,0,0
banco de dados,False,banco de dados,algoritmos e estruturas de dados i,72,36,36,0
bioengenharia,False,bioengenharia,fisiologia humana i,72,0,72,0
bioinformática avançada,False,bioinformática avançada,introdução à bioinformática,72,36,36,0
biologia do desenvolvimento,False,biologia do desenvolvimento,biologia molecular do gene,36,0,36,0
biologia estrutural,False,biologia estrutural,bioquímica i,72,36,36,0
biologia geral,False,biologia geral,não há,72,0,72,0
biologia molecular da célula,False,biologia molecular da célula,fundamentos da biologia moderna,72,0,72,0
biologia molecular do gene,False,biologia molecular do gene,fundamentos da biologia moderna,72,0,72,0
biomateriais,False,biomateriais,química geral,36,0,36,0
biomecânica,False,biomecânica,sistemas mecânicos,72,36,36,0
bioquímica analítica,False,bioquímica analítica,bioquímica i,72,0,72,0
bioquímica i,False,bioquímica i,fundamentos de biologia moderna,72,0,72,0
bioquímica ii,False,bioquímica ii,bioquímica i,72,0,72,0
biossensores,False,biossensores,química geral; fenômenos eletromagnéticos; fundamentos de biologia moderna,72,0,72,0
