A,B
lógica de programação,algoritmos e estruturas de dados i
algoritmos e estruturas de dados i,algoritmos e estruturas de dados ii
circuitos digitais,arquitetura e organização de computadores
algoritmos e estruturas de dados i,banco de dados
linguagens formais e autômatos,compiladores
algoritmos e estruturas de dados i,computação gráfica
cálculo em uma variável,cálculo em várias variáveis
geometria analítica,cálculo em várias variáveis
cálculo em uma variável,cálculo numérico
geometria analítica,cálculo numérico
programação orientada a objetos,engenharia de software
algoritmos e estruturas de dados i,inteligência artificial
matemática discreta,linguagens formais e autômatos
lógica de programação,linguagens formais e autômatos
cálculo em uma variável,probabilidade e estatística
sistemas operacionais,programação concorrente e distribuída
algoritmos e estruturas de dados i,programação orientada a objetos
matemática discreta,projeto e análise de algoritmos
algoritmos e estruturas de dados ii,projeto e análise de algoritmos
programação orientada a objetos,projeto orientado a objetos
programação orientada a objetos,redes de computadores
algoritmos e estruturas de dados i,sistemas operacionais
cálculo em uma variável,séries e equações diferenciais ordinárias
projeto e análise de algoritmos,teoria dos grafos
geometria analítica,álgebra linear
