A,B
lógica de programação,algoritmos em bioinformática
séries e equações diferenciais ordinárias,análise de sinais
circuitos elétricos i,circuitos elétricos ii
fenômenos eletromagnéticos,circuitos elétricos ii
análise de sinais,controle de sistemas dinâmicos
circuitos elétricos ii,controle de sistemas dinâmicos
cálculo em uma variável,cálculo em várias variáveis
geometria analítica,cálculo em várias variáveis
cálculo em uma variável,cálculo numérico
geometria analítica,cálculo numérico
circuitos elétricos ii,eletrônica avançada
fisiologia humana i,fisiologia humana ii
circuitos elétricos ii,introdução à eletrotécnica
fenômenos eletromagnéticos,laboratório de circuitos elétricos
circuitos elétricos i,laboratório de circuitos elétricos
circuitos digitais,laboratório de eletrônica digital
geometria analítica,mecânica geral
fenômenos mecânicos,mecânica geral
cálculo em uma variável,probabilidade e estatística
análise de sinais,processamento de sinais
algoritmos em bioinformática,processamento de sinais
mecânica geral,sistemas mecânicos
cálculo em uma variável,séries e equações diferenciais ordinárias
geometria analítica,álgebra linear
