"ucname_file","error_flag","nome","Pré-Requisitos","Carga Horária Total","Carga Horária Prática","Carga Horária Teórica","Carga Horária Extensão","id","group","topgen","size"
"algoritmos e estruturas de dados i",False,"algoritmos e estruturas de dados i","lógica de programação",72.0,36.0,36.0,0.0,0,"003","1",3.0
"algoritmos e estruturas de dados ii",False,"algoritmos e estruturas de dados ii","algoritmos e estruturas de dados i",72.0,26.0,46.0,0.0,1,"002","2",2.0
"análise real i",False,"análise real i","cálculo em uma variável",72.0,0.0,72.0,0.0,2,"003","1",2.0
"análise real ii",False,"análise real ii","análise real i",72.0,0.0,72.0,0.0,3,"002","2",1.0
"ciência, tecnologia e sociedade",False,"ciência, tecnologia e sociedade","não há",36.0,0.0,36.0,0.0,4,"000","",""
"ciência, tecnologia, sociedade e ambiente",False,"ciência, tecnologia, sociedade e ambiente","não há",36.0,0.0,36.0,0.0,5,"000","",""
"cálculo em uma variável",False,"cálculo em uma variável","não há",108.0,36.0,72.0,0.0,6,"004","0",3.0
"cálculo em várias variáveis",False,"cálculo em várias variáveis","cálculo em uma variável; geometria analítica",72.0,10.0,62.0,0.0,7,"003","1",2.0
"cálculo numérico",False,"cálculo numérico","cálculo em uma variável; geometria analítica",72.0,14.0,58.0,0.0,8,"003","1",2.0
"elementos de álgebra",False,"elementos de álgebra","não há",72.0,0.0,72.0,0.0,9,"000","",""
"equações diferenciais ordinárias",False,"equações diferenciais ordinárias","álgebra linear; séries e equações diferenciais ordinárias",72.0,0.0,72.0,0.0,10,"002","2",1.0
"equações diferenciais parciais",False,"equações diferenciais parciais","cálculo em várias variáveis; séries e equações diferenciais ordinárias",72.0,0.0,72.0,0.0,11,"002","2",1.0
"espaços métricos",False,"espaços métricos","cálculo em várias variáveis",72.0,0.0,72.0,0.0,12,"002","2",1.0
"fenômenos do contínuo",False,"fenômenos do contínuo","não há",72.0,0.0,72.0,0.0,13,"000","",""
"fenômenos mecânicos",False,"fenômenos mecânicos","não há",72.0,0.0,72.0,0.0,14,"000","",""
"fundamentos de biologia moderna",False,"fundamentos da biologia moderna","não há",72.0,0.0,72.0,0.0,15,"000","",""
"funções analíticas",False,"funções analíticas","cálculo em várias variáveis; séries e equações diferenciais ordinárias",72.0,10.0,62.0,0.0,16,"002","2",1.0
"geometria analítica",False,"geometria analítica","não há",72.0,8.0,64.0,0.0,17,"004","0",3.0
"inferência e análise de regressão",False,"inferência e análise de regressão","probabilidade e estatística",72.0,16.0,56.0,0.0,18,"002","2",1.0
"introdução à geometria diferencial",False,"introdução à geometria diferencial","cálculo em várias variáveis",72.0,0.0,72.0,0.0,19,"002","2",1.0
"lógica de programação",False,"lógica de programação","não há",72.0,30.0,42.0,0.0,20,"004","0",4.0
"matemática discreta",False,"matemática discreta","não há",72.0,36.0,36.0,0.0,21,"004","0",2.0
"métodos numéricos para equações diferenciais",False,"métodos numéricos para equações diferenciais","cálculo numérico; álgebra linear; séries e equações diferenciais ordinárias",72.0,14.0,58.0,0.0,22,"002","2",1.0
"otimização inteira",False,"otimização inteira","otimização linear",72.0,10.0,62.0,0.0,23,"002","2",1.0
"otimização linear",False,"otimização linear","geometria analítica; lógica de programação",72.0,14.0,58.0,0.0,24,"003","1",2.0
"otimização não linear",False,"otimização não linear","cálculo em várias variáveis; cálculo numérico",72.0,14.0,58.0,0.0,25,"002","2",1.0
"probabilidade",False,"probabilidade","probabilidade e estatística; cálculo em várias variáveis",72.0,12.0,60.0,0.0,26,"002","2",1.0
"probabilidade e estatística",False,"probabilidade e estatística","cálculo em uma variável",72.0,16.0,56.0,0.0,27,"003","1",2.0
"projeto e análise de algoritmos",False,"projeto e análise de algoritmos","matemática discreta; algoritmos e estruturas de dados ii",72.0,20.0,52.0,0.0,28,"001","3",1.0
"química geral",False,"química geral","não há",72.0,0.0,72.0,0.0,29,"000","",""
"séries e equações diferenciais ordinárias",False,"séries e equações diferenciais ordinárias","cálculo em uma variável",72.0,10.0,62.0,0.0,30,"003","1",2.0
"teoria dos números e criptografia",False,"teoria dos números e criptografia","matemática discreta",72.0,10.0,62.0,0.0,31,"003","1",1.0
"álgebra linear",False,"álgebra linear","geometria analítica",72.0,10.0,62.0,0.0,32,"003","1",2.0
"álgebra linear computacional",False,"álgebra linear computacional","cálculo numérico",72.0,22.0,50.0,0.0,33,"002","2",1.0
"álgebra linear ii",False,"álgebra linear ii","álgebra linear",72.0,0.0,72.0,0.0,34,"002","2",1.0
