A,B
lógica de programação,algoritmos em bioinformática
séries e equações diferenciais ordinárias,análise de sinais
sistemas embarcados,avanços em engenharia biomédica
instrumentos eletromédicos,avanços em engenharia biomédica
fisiologia humana i,bioengenharia
química geral,biomateriais
sistemas mecânicos,biomecânica
química geral,biossensores
fenômenos eletromagnéticos,biossensores
fundamentos de biologia moderna,biossensores
circuitos elétricos i,circuitos elétricos ii
fenômenos eletromagnéticos,circuitos elétricos ii
análise de sinais,controle de sistemas dinâmicos
circuitos elétricos ii,controle de sistemas dinâmicos
cálculo em uma variável,cálculo em várias variáveis
geometria analítica,cálculo em várias variáveis
cálculo em uma variável,cálculo numérico
geometria analítica,cálculo numérico
circuitos elétricos ii,eletrônica avançada
introdução à eletrotécnica,engenharia clínica hospitalar
fisiologia humana i,engenharia médica aplicada
imagens biomédicas,engenharia médica aplicada
transdução de grandezas biomédicas,engenharia médica aplicada
fisiologia humana i,fisiologia humana ii
análise de sinais,imagens biomédicas
algoritmos em bioinformática,imagens biomédicas
circuitos elétricos ii,instrumentos eletromédicos
circuitos elétricos ii,introdução à eletrotécnica
fenômenos eletromagnéticos,laboratório de circuitos elétricos
circuitos elétricos i,laboratório de circuitos elétricos
circuitos digitais,laboratório de eletrônica digital
geometria analítica,mecânica geral
fenômenos mecânicos,mecânica geral
cálculo em uma variável,probabilidade e estatística
análise de sinais,processamento de sinais
algoritmos em bioinformática,processamento de sinais
mecânica geral,sistemas mecânicos
cálculo em uma variável,séries e equações diferenciais ordinárias
circuitos elétricos ii,transdução de grandezas biomédicas
geometria analítica,álgebra linear
