"ucname_file","error_flag","nome","Pré-Requisitos","Carga Horária Total","Carga Horária Prática","Carga Horária Teórica","Carga Horária Extensão","id","group","topgen","size"
"algoritmos em bioinformática",False,"algoritmos em bioinformática","lógica de programação",72.0,36.0,36.0,0.0,0,"004","1",3.0
"anatomia",False,"anatomia","não há",36.0,10.0,26.0,0.0,1,"000","",""
"análise de sinais",False,"análise de sinais","séries e equações diferenciais ordinárias",72.0,0.0,72.0,0.0,2,"003","2",3.0
"avanços em engenharia biomédica",False,"avanços em engenharia biomédica","sistemas embarcados; instrumentos eletromédicos",36.0,36.0,0.0,0.0,3,"002","3",1.0
"bioengenharia",False,"bioengenharia","fisiologia humana i",72.0,0.0,72.0,0.0,4,"004","1",1.0
"biomateriais",False,"biomateriais","química geral",36.0,0.0,36.0,0.0,5,"004","1",1.0
"biomecânica",False,"biomecânica","sistemas mecânicos",72.0,36.0,36.0,0.0,6,"002","3",1.0
"biossensores",False,"biossensores","química geral; fenômenos eletromagnéticos; fundamentos de biologia moderna",72.0,0.0,72.0,0.0,7,"004","1",1.0
"circuitos digitais",False,"circuitos digitais","não há",72.0,20.0,52.0,0.0,8,"005","0",2.0
"circuitos elétricos i",False,"circuitos elétricos i","não há",72.0,0.0,72.0,0.0,9,"005","0",4.0
"circuitos elétricos ii",False,"circuitos elétricos ii","circuitos elétricos i; fenômenos eletromagnéticos",72.0,0.0,72.0,0.0,10,"004","1",3.0
"ciência, tecnologia e sociedade",False,"ciência, tecnologia e sociedade","não há",36.0,0.0,36.0,0.0,11,"000","",""
"ciência, tecnologia, sociedade e ambiente",False,"ciência, tecnologia, sociedade e ambiente","não há",36.0,0.0,36.0,0.0,12,"000","",""
"controle de sistemas dinâmicos",False,"controle de sistemas dinâmicos","análise de sinais; circuitos elétricos ii",72.0,36.0,36.0,0.0,13,"002","3",1.0
"cálculo em uma variável",False,"cálculo em uma variável","não há",108.0,36.0,72.0,0.0,14,"005","0",5.0
"cálculo em várias variáveis",False,"cálculo em várias variáveis","cálculo em uma variável; geometria analítica",72.0,10.0,62.0,0.0,15,"004","1",1.0
