A,B
lógica de programação,algoritmos e estruturas de dados i
algoritmos e estruturas de dados i,algoritmos e estruturas de dados ii
séries e equações diferenciais ordinárias,análise de sinais
circuitos digitais,arquitetura e organização de computadores
algoritmos e estruturas de dados i,banco de dados
circuitos elétricos i,circuitos elétricos ii
fenômenos eletromagnéticos,circuitos elétricos ii
linguagens formais e autômatos,compiladores
análise de sinais,controle de sistemas dinâmicos
circuitos elétricos ii,controle de sistemas dinâmicos
cálculo em uma variável,cálculo em várias variáveis
geometria analítica,cálculo em várias variáveis
cálculo em uma variável,cálculo numérico
geometria analítica,cálculo numérico
programação orientada a objetos,engenharia de software
fenômenos eletromagnéticos,laboratório de circuitos elétricos
circuitos elétricos i,laboratório de circuitos elétricos
arquitetura e organização de computadores,laboratório de sistemas computacionais: arquitetura e organização de computadores
laboratório de sistemas computacionais: circuitos digitais,laboratório de sistemas computacionais: arquitetura e organização de computadores
circuitos digitais,laboratório de sistemas computacionais: circuitos digitais
compiladores,laboratório de sistemas computacionais: compiladores
laboratório de sistemas computacionais: engenharia de sistemas,laboratório de sistemas computacionais: compiladores
redes de computadores,laboratório de sistemas computacionais: comunicação digital
laboratório de sistemas computacionais: sistemas operacionais,laboratório de sistemas computacionais: comunicação digital
laboratório de sistemas computacionais: arquitetura e organização de computadores,laboratório de sistemas computacionais: engenharia de sistemas
sistemas operacionais,laboratório de sistemas computacionais: sistemas operacionais
laboratório de sistemas computacionais: compiladores,laboratório de sistemas computacionais: sistemas operacionais
matemática discreta,linguagens formais e autômatos
lógica de programação,linguagens formais e autômatos
fenômenos eletromagnéticos,materiais elétricos
geometria analítica,mecânica geral
fenômenos mecânicos,mecânica geral
cálculo em uma variável,probabilidade e estatística
sistemas operacionais,programação concorrente e distribuída
algoritmos e estruturas de dados i,programação orientada a objetos
matemática discreta,projeto e análise de algoritmos
algoritmos e estruturas de dados ii,projeto e análise de algoritmos
programação orientada a objetos,redes de computadores
sistemas operacionais,segurança computacional
algoritmos e estruturas de dados i,sistemas operacionais
cálculo em uma variável,séries e equações diferenciais ordinárias
geometria analítica,álgebra linear
