"ucname_file","error_flag","nome","Pré-Requisitos","Carga Horária Total","Carga Horária Prática","Carga Horária Teórica","Carga Horária Extensão","id","group","topgen","size"
"algoritmos e estruturas de dados i",False,"algoritmos e estruturas de dados i","lógica de programação",72.0,36.0,36.0,0.0,0,"006","1",4.0
"algoritmos e estruturas de dados ii",False,"algoritmos e estruturas de dados ii","algoritmos e estruturas de dados i",72.0,26.0,46.0,0.0,1,"005","2",2.0
"análise de sinais",False,"análise de sinais","séries e equações diferenciais ordinárias",72.0,0.0,72.0,0.0,2,"005","2",2.0
"arquitetura e organização de computadores",False,"arquitetura e organização de computadores","circuitos digitais",72.0,20.0,52.0,0.0,3,"006","1",6.0
"banco de dados",False,"banco de dados","algoritmos e estruturas de dados i",72.0,36.0,36.0,0.0,4,"005","2",1.0
"circuitos digitais",False,"circuitos digitais","não há",72.0,20.0,52.0,0.0,5,"007","0",7.0
"circuitos elétricos i",False,"circuitos elétricos i","não há",72.0,0.0,72.0,0.0,6,"007","0",3.0
"circuitos elétricos ii",False,"circuitos elétricos ii","circuitos elétricos i; fenômenos eletromagnéticos",72.0,0.0,72.0,0.0,7,"006","1",2.0
"ciência, tecnologia e sociedade",False,"ciência, tecnologia e sociedade","não há",36.0,0.0,36.0,0.0,8,"000","",""
"ciência, tecnologia, sociedade e ambiente",False,"ciência, tecnologia, sociedade e ambiente","não há",36.0,0.0,36.0,0.0,9,"000","",""
"compiladores",False,"compiladores","linguagens formais e autômatos",72.0,36.0,36.0,0.0,10,"005","2",4.0
"controle de sistemas dinâmicos",False,"controle de sistemas dinâmicos","análise de sinais; circuitos elétricos ii",72.0,36.0,36.0,0.0,11,"004","3",1.0
"cálculo em uma variável",False,"cálculo em uma variável","não há",108.0,36.0,72.0,0.0,12,"007","0",4.0
"cálculo em várias variáveis",False,"cálculo em várias variáveis","cálculo em uma variável; geometria analítica",72.0,10.0,62.0,0.0,13,"006","1",1.0
"cálculo numérico",False,"cálculo numérico","cálculo em uma variável; geometria analítica",72.0,14.0,58.0,0.0,14,"006","1",1.0
"desenho técnico básico",False,"desenho técnico básico","não há",36.0,18.0,18.0,0.0,15,"000","",""
"engenharia de software",False,"engenharia de software","programação orientada a objetos",72.0,36.0,36.0,0.0,16,"004","3",1.0
"fenômenos do contínuo",False,"fenômenos do contínuo","não há",72.0,0.0,72.0,0.0,17,"000","",""
