A,B
materiais cerâmicos,cerâmicas refratárias
química geral,ciência e tecnologia dos materiais
ciência e tecnologia dos materiais,corrosão e degradação de materiais
cálculo em uma variável,cálculo em várias variáveis
geometria analítica,cálculo em várias variáveis
cálculo em uma variável,cálculo numérico
geometria analítica,cálculo numérico
processamento de materiais cerâmicos,engenharia de produtos cerâmicos
ciência e tecnologia dos materiais,ensaios de materiais
materiais poliméricos,estrutura e propriedades de polímeros
séries e equações diferenciais ordinárias,fenômenos de transporte
mecânica geral,fenômenos de transporte
ciência e tecnologia dos materiais,materiais cerâmicos
ciência e tecnologia dos materiais,materiais metálicos
ciência e tecnologia dos materiais,materiais poliméricos
geometria analítica,mecânica geral
fenômenos mecânicos,mecânica geral
materiais metálicos,metalurgia extrativa
termodinâmica dos sólidos,metalurgia extrativa
ciência e tecnologia dos materiais,metalurgia física
ciência e tecnologia dos materiais,metalurgia mecânica
resistência dos materiais,metalurgia mecânica
cálculo em uma variável,probabilidade e estatística
materiais cerâmicos,processamento de materiais cerâmicos
metalurgia física,processamento de materiais metálicos
metalurgia mecânica,processamento de materiais metálicos
materiais poliméricos,processamento de termoplásticos
química geral,química inorgânica
química geral,química orgânica
materiais poliméricos,reologia dos materiais
fenômenos de transporte,reologia dos materiais
mecânica geral,resistência dos materiais
ciência e tecnologia dos materiais,seleção de materiais
cálculo em uma variável,séries e equações diferenciais ordinárias
química orgânica,síntese de polímeros
materiais poliméricos,síntese de polímeros
química geral,termodinâmica dos sólidos
materiais metálicos,tratamentos térmicos
ciência e tecnologia dos materiais,técnicas experimentais
