"ucname_file","error_flag","nome","Pré-Requisitos","Carga Horária Total","Carga Horária Prática","Carga Horária Teórica","Carga Horária Extensão","id","group","topgen","size"
"cerâmicas refratárias",False,"cerâmicas refratárias","materiais cerâmicos",36.0,0.0,36.0,0.0,0,"002","3",1.0
"circuitos elétricos i",False,"circuitos elétricos i","não há",72.0,0.0,72.0,0.0,1,"000","",""
"ciência e tecnologia dos materiais",False,"ciência e tecnologia de materiais","química geral",72.0,0.0,72.0,0.0,2,"004","1",4.0
"ciência, tecnologia e sociedade",False,"ciência, tecnologia e sociedade","não há",36.0,0.0,36.0,0.0,3,"000","",""
"ciência, tecnologia, sociedade e ambiente",False,"ciência, tecnologia, sociedade e ambiente","não há",36.0,0.0,36.0,0.0,4,"000","",""
"corrosão e degradação de materiais",False,"corrosão e degradação de materiais","ciência e tecnologia dos materiais",72.0,0.0,72.0,0.0,5,"003","2",1.0
"cálculo em uma variável",False,"cálculo em uma variável","não há",108.0,36.0,72.0,0.0,6,"005","0",4.0
"cálculo em várias variáveis",False,"cálculo em várias variáveis","cálculo em uma variável; geometria analítica",72.0,10.0,62.0,0.0,7,"004","1",1.0
"cálculo numérico",False,"cálculo numérico","cálculo em uma variável; geometria analítica",72.0,14.0,58.0,0.0,8,"004","1",1.0
"desenho técnico básico",False,"desenho técnico básico","não há",36.0,18.0,18.0,0.0,9,"000","",""
"engenharia de produtos cerâmicos",False,"engenharia de produtos cerâmicos","matérias-primas cerâmicas; processamento de materiais cerâmicos",72.0,0.0,72.0,0.0,10,"001","4",1.0
"ensaios de materiais",False,"ensaios de materiais","ciência e tecnologia dos materiais",72.0,20.0,52.0,0.0,11,"003","2",1.0
"estrutura e propriedades de polímeros",False,"estrutura e propriedades de polímeros","materiais poliméricos",72.0,12.0,60.0,0.0,12,"002","3",1.0
"fenômenos de transporte",False,"fenômenos de transporte","séries e equações diferenciais ordinárias; mecânica geral",72.0,0.0,72.0,0.0,13,"003","2",2.0
"fenômenos eletromagnéticos",False,"fenômenos eletromagnéticos","não há",72.0,0.0,72.0,0.0,14,"000","",""
"fenômenos eletromagnéticos experimental",False,"fenômenos eletromagnéticos experimental","não há",36.0,36.0,0.0,0.0,15,"000","",""
"fenômenos mecânicos",False,"fenômenos mecânicos","não há",72.0,0.0,72.0,0.0,16,"005","0",5.0
"fenômenos mecânicos experimental",False,"fenômenos mecânicos experimental","não há",36.0,36.0,0.0,0.0,17,"000","",""
"fundamentos de biologia moderna",False,"fundamentos da biologia moderna","não há",72.0,0.0,72.0,0.0,18,"000","",""
"geometria analítica",False,"geometria analítica","não há",72.0,8.0,64.0,0.0,19,"005","0",5.0
"introdução à engenharia de materiais",False,"introdução à engenharia de materiais","não há",36.0,0.0,36.0,0.0,20,"000","",""
"lógica de programação",False,"lógica de programação","não há",72.0,30.0,42.0,0.0,21,"000","",""
"materiais cerâmicos",False,"materiais cerâmicos","ciência e tecnologia dos materiais",72.0,12.0,60.0,0.0,22,"003","2",3.0
"materiais metálicos",False,"materiais metálicos","ciência e tecnologia dos materiais",72.0,20.0,52.0,0.0,23,"003","2",2.0
"materiais poliméricos",False,"materiais poliméricos","ciência e tecnologia dos materiais",72.0,12.0,60.0,0.0,24,"003","2",2.0
"mecânica geral",False,"mecânica geral","geometria analítica; fenômenos mecânicos",72.0,0.0,72.0,0.0,25,"004","1",4.0
"metalurgia extrativa",False,"metalurgia extrativa","materiais metálicos, termodinâmica dos sólidos",36.0,0.0,36.0,0.0,26,"002","3",1.0
"metalurgia física",False,"metalurgia física","ciência e tecnologia dos materiais",72.0,0.0,72.0,0.0,27,"003","2",2.0
"metalurgia mecânica",False,"metalurgia mecânica","ciência e tecnologia dos materiais; resistência dos materiais",72.0,0.0,72.0,0.0,28,"002","3",2.0
"microeconomia",False,"microeconomia","não há",36.0,0.0,36.0,0.0,29,"000","",""
"probabilidade e estatística",False,"probabilidade e estatística","cálculo em uma variável",72.0,16.0,56.0,0.0,30,"004","1",1.0
"processamento de materiais cerâmicos",False,"processamento de materiais cerâmicos","materiais cerâmicos",72.0,16.0,56.0,0.0,31,"002","3",2.0
"processamento de materiais metálicos",False,"processamento de materiais metálicos","metalurgia física, metalurgia mecânica",72.0,8.0,64.0,0.0,32,"001","4",1.0
"processamento de termoplásticos",False,"processamento de termoplásticos","materiais poliméricos",72.0,16.0,56.0,0.0,33,"002","3",1.0
"química geral",False,"química geral","não há",72.0,0.0,72.0,0.0,34,"005","0",5.0
"química geral experimental",False,"química geral experimental","não há",72.0,72.0,0.0,0.0,35,"000","",""
"química inorgânica",False,"química inorgânica","química geral",72.0,12.0,60.0,0.0,36,"004","1",1.0
"química orgânica",False,"química orgânica","química geral",72.0,0.0,72.0,0.0,37,"004","1",2.0
"reologia dos materiais",False,"reologia dos materiais","materiais poliméricos, fenômenos de transporte",36.0,6.0,30.0,0.0,38,"002","3",1.0
"resistência dos materiais",False,"resistência dos materiais","mecânica geral",72.0,0.0,72.0,0.0,39,"003","2",3.0
"seleção de materiais",False,"seleção de materiais","ciência e tecnologia dos materiais",36.0,0.0,36.0,0.0,40,"003","2",1.0
"séries e equações diferenciais ordinárias",False,"séries e equações diferenciais ordinárias","cálculo em uma variável",72.0,10.0,62.0,0.0,41,"004","1",3.0
"síntese de polímeros",False,"síntese de polímeros","química orgânica; materiais poliméricos",72.0,20.0,52.0,0.0,42,"002","3",1.0
"tecnologia e meio ambiente",False,"tecnologia e meio ambiente","não há",36.0,0.0,36.0,0.0,43,"000","",""
"teorias administrativas",False,"teorias administrativas","não há",36.0,0.0,36.0,0.0,44,"000","",""
"termodinâmica dos sólidos",False,"termodinâmica dos sólidos","química geral",72.0,0.0,72.0,0.0,45,"004","1",2.0
"tratamentos térmicos",False,"tratamentos térmicos","materiais metálicos",36.0,8.0,28.0,0.0,46,"002","3",1.0
"técnicas experimentais",False,"técnicas experimentais","ciência e tecnologia dos materiais",72.0,24.0,48.0,0.0,47,"003","2",1.0
