"ucname_file","error_flag","nome","Pré-Requisitos","Carga Horária Total","Carga Horária Prática","Carga Horária Teórica","Carga Horária Extensão","id","group","topgen","size"
"algoritmos e estruturas de dados i",False,"algoritmos e estruturas de dados i","lógica de programação",72.0,36.0,36.0,0.0,0,"006","1",4.0
"algoritmos e estruturas de dados ii",False,"algoritmos e estruturas de dados ii","algoritmos e estruturas de dados i",72.0,26.0,46.0,0.0,1,"005","2",3.0
"algoritmos em bioinformática",False,"algoritmos em bioinformática","lógica de programação",72.0,36.0,36.0,0.0,2,"006","1",3.0
"anatomia",False,"anatomia","não há",36.0,10.0,26.0,0.0,3,"000","",""
"análise de sinais",False,"análise de sinais","séries e equações diferenciais ordinárias",72.0,0.0,72.0,0.0,4,"005","2",3.0
"análise do rn",False,"análise do rn","cálculo em várias variáveis; análise real i",72.0,0.0,72.0,0.0,5,"005","2",1.0
"análise real i",False,"análise real i","cálculo em uma variável",72.0,0.0,72.0,0.0,6,"006","1",2.0
"análise real ii",False,"análise real ii","análise real i",72.0,0.0,72.0,0.0,7,"005","2",1.0
"aplicações de robótica móvel",False,"aplicações de robótica móvel","algoritmos e estruturas de dados i",72.0,52.0,20.0,0.0,8,"005","2",1.0
"aprendizado de máquina e reconhecimento de padrões",False,"aprendizado de máquina e reconhecimento de padrões","probabilidade e estatística; lógica de programação",72.0,24.0,48.0,0.0,9,"005","2",1.0
"arquitetura e organização de computadores",False,"arquitetura e organização de computadores","circuitos digitais",72.0,20.0,52.0,0.0,10,"006","1",6.0
"aspectos de implementação de banco de dados",False,"aspectos de implementação de banco de dados","banco de dados",72.0,40.0,32.0,0.0,11,"004","3",1.0
"avanços em engenharia biomédica",False,"avanços em engenharia biomédica","sistemas embarcados; instrumentos eletromédicos",36.0,36.0,0.0,0.0,12,"004","3",1.0
"banco de dados",False,"banco de dados","algoritmos e estruturas de dados i",72.0,36.0,36.0,0.0,13,"005","2",2.0
"bioengenharia",False,"bioengenharia","fisiologia humana i",72.0,0.0,72.0,0.0,14,"006","1",1.0
"bioinformática avançada",False,"bioinformática avançada","introdução à bioinformática",72.0,36.0,36.0,0.0,15,"004","3",1.0
"biologia do desenvolvimento",False,"biologia do desenvolvimento","biologia molecular do gene",36.0,0.0,36.0,0.0,16,"005","2",1.0
"biologia estrutural",False,"biologia estrutural","bioquímica i",72.0,36.0,36.0,0.0,17,"005","2",2.0
"biologia geral",False,"biologia geral","não há",72.0,0.0,72.0,0.0,18,"000","",""
"biologia molecular da célula",False,"biologia molecular da célula","fundamentos da biologia moderna",72.0,0.0,72.0,0.0,19,"006","1",3.0
"biologia molecular do gene",False,"biologia molecular do gene","fundamentos da biologia moderna",72.0,0.0,72.0,0.0,20,"006","1",2.0
"biomateriais",False,"biomateriais","química geral",36.0,0.0,36.0,0.0,21,"006","1",1.0
"biomecânica",False,"biomecânica","sistemas mecânicos",72.0,36.0,36.0,0.0,22,"004","3",1.0
"bioquímica analítica",False,"bioquímica analítica","bioquímica i",72.0,0.0,72.0,0.0,23,"005","2",2.0
"bioquímica i",False,"bioquímica i","fundamentos de biologia moderna",72.0,0.0,72.0,0.0,24,"006","1",3.0
"bioquímica ii",False,"bioquímica ii","bioquímica i",72.0,0.0,72.0,0.0,25,"005","2",1.0
"biossensores",False,"biossensores","química geral; fenômenos eletromagnéticos; fundamentos de biologia moderna",72.0,0.0,72.0,0.0,26,"006","1",2.0
"biotecnologia ambiental i",False,"biotecnologia ambiental i","não há",72.0,0.0,72.0,0.0,27,"007","0",2.0
"biotecnologia ambiental ii",False,"biotecnologia ambiental ii","biotecnologia ambiental i",72.0,0.0,72.0,0.0,28,"006","1",1.0
"biotecnologia animal",False,"biotecnologia animal","não há",72.0,0.0,72.0,0.0,29,"007","0",2.0
"biotecnologia de energias renovaveis ii",False,"biotecnologia de energias renováveis ii","biotecnologia de energias renováveis i",72.0,0.0,72.0,0.0,30,"006","1",1.0
"biotecnologia de energias renováveis i",False,"biotecnologia de energias renováveis i","não há",72.0,0.0,72.0,0.0,31,"007","0",2.0
